# Every HKEX-listed equity + REIT (HKD counters), from HKEX's List of Securities.
2209.HK  # YESASIA HLDGS
2210.HK  # BEIJING JIAYE
2211.HK  # UNI HEALTH
2212.HK  # FB MINING
2215.HK  # DEXIN SER GROUP
2216.HK  # BRONCUS-B
2218.HK  # ANDRE JUICE
2219.HK  # CHAOJU EYE CARE
2221.HK  # NEW CONCEPTS
2222.HK  # NVC INTL
2223.HK  # CASABLANCA
2225.HK  # JINHAI MED TECH
2226.HK  # HONWORLD GP
2227.HK  # SOLIS HOLDINGS
2228.HK  # XTALPI
2230.HK  # MEDIALINK GROUP
2231.HK  # JY GRANDMARK
2232.HK  # CRYSTAL INTL
2233.HK  # WESTCHINACEMENT
2235.HK  # MICROTECH MED-B
2236.HK  # WISON ENGRG
2237.HK  # CHINA GRAPHITE
2238.HK  # GAC GROUP
2239.HK  # SMIT
2245.HK  # LYGEND RESOURCE
2246.HK  # GOGOX
2249.HK  # NEXCHIP
2250.HK  # B.DUCK SEMK
2251.HK  # AIRDOC-B
2252.HK  # MEDBOT-B
2255.HK  # HAICHANG HLDG
2256.HK  # ABBISKO-B
2257.HK  # SIRNAOMICS-B
2258.HK  # WATTS INT'L
2259.HK  # ZIJIN GOLD INTL
2260.HK  # VANOV HOLDINGS
2261.HK  # NASN TECH
2262.HK  # SLD GROUP
2263.HK  # FU SHEK FIN
2265.HK  # HC ENV TECH
2266.HK  # LAI SI ENT
2268.HK  # WUXI XDC
2269.HK  # WUXI BIO
2270.HK  # DESUN SERVICES
2271.HK  # ZHONGAN SERVICE
2272.HK  # KEYTOP PARKING
2273.HK  # GUSHENGTANG
2276.HK  # CONANT OPTICAL
2279.HK  # YONGHE MEDICAL
2280.HK  # HC GROUP
2281.HK  # XINGLU WATER
2282.HK  # MGM CHINA
2283.HK  # TK GROUP HLDG
2285.HK  # CHERVON
2286.HK  # CHEN XING
2288.HK  # RYKADAN CAPITAL
2289.HK  # CHARMACY PHAR
2290.HK  # LUNG FUNG GROUP
2291.HK  # SCIENTECH
2293.HK  # BAMBOOSHEALTH
2295.HK  # MAXICITY
2297.HK  # RAINMED-B
2298.HK  # COSMO LADY
2299.HK  # BILLION IND
2302.HK  # CNNC INT'L
2306.HK  # YH ENT
2307.HK  # KAM HING INT'L
2309.HK  # ZO FUTURE GROUP
2310.HK  # TIMES UNI GP
2312.HK  # LONG INV CORP
2313.HK  # SHENZHOU INTL
2314.HK  # LEE & MAN PAPER
2315.HK  # BIOCYTOGEN-B
2317.HK  # VEDAN INT'L
2318.HK  # PING AN
2319.HK  # MENGNIU DAIRY
2320.HK  # HOP FUNG GROUP
2321.HK  # SWANGCHAICHUAN
2322.HK  # MODERN INNO DT
2324.HK  # CAPITAL VC
2325.HK  # YUNKANG GROUP
2326.HK  # NPE HOLDINGS
2327.HK  # MEILLEUREHEALTH
2328.HK  # PICC P&C
2329.HK  # GLORY HEALTH
2330.HK  # CHINA UPTOWN
2331.HK  # LI NING
2333.HK  # GWMOTOR
2335.HK  # MICOT PHARMA-B
2336.HK  # SHUOAO INTL
2337.HK  # UNITED STRENGTH
2338.HK  # WEICHAI POWER
2339.HK  # BWI INT'L
2340.HK  # ISP HOLDINGS
2342.HK  # COMBA
2343.HK  # PACIFIC BASIN
2347.HK  # YOHO GROUP
2348.HK  # DAWNRAYS PHARMA
2349.HK  # CHINA AI INFRA
2350.HK  # MTT GROUP
2352.HK  # DOWELL SERVICE
2355.HK  # BAOYE GROUP
2356.HK  # DAHSING BANKING
2357.HK  # AVICHINA
2358.HK  # JIU RONG HOLD
2359.HK  # WUXI APPTEC
2360.HK  # BEST MART 360
2361.HK  # SINOHEALTH TECH
2362.HK  # JINCHUAN INTL
2363.HK  # TONGDA HONG TAI
2367.HK  # GIANT BIOGENE
2368.HK  # EAGLE NICE
2369.HK  # COOLPAD GROUP
2370.HK  # REDCO HEALTHY
2371.HK  # CHUANGLIAN HOLD
2372.HK  # WEILI HOLDINGS
2373.HK  # BEAUTYFARM MED
2376.HK  # LUSHANGSERVICES
2377.HK  # BOQI ENV
2378.HK  # PRU
2380.HK  # CHINA POWER
2381.HK  # SMC ELECTRIC
2382.HK  # SUNNY OPTICAL
2383.HK  # TOM GROUP
2385.HK  # READBOY
2386.HK  # SINOPEC SEG
2388.HK  # BOC HONG KONG
2389.HK  # BJ HEALTH
2390.HK  # ZHIHU-W
2391.HK  # TUYA-W
2392.HK  # XUANWU CLOUD
2393.HK  # YESTAR HEALTH
2396.HK  # B&K CORP-B
2399.HK  # CN ANCHU ENERGY
2400.HK  # XD INC
2402.HK  # SINOHYTEC
2405.HK  # POWERWIN TECH
2407.HK  # GAUSH MEDITECH
2408.HK  # XIAO NOODLES
2409.HK  # SEACON
2410.HK  # TYK MEDICINES-B
2411.HK  # PAGODA GP
2415.HK  # MEDSCI
2416.HK  # EDIANYUN
2418.HK  # DEEWIN
2419.HK  # DEKON AGR
2420.HK  # ZIBUYU
2421.HK  # KRP DEVELOPMENT
2422.HK  # REGO INTERACT
2423.HK  # BEKE-W
2425.HK  # AUSTASIA GROUP
2427.HK  # GUANZE MEDICAL
2429.HK  # UBOX ONLINE
2431.HK  # MINIEYE
2432.HK  # DOBOT
2433.HK  # ZT HN GROUP
2436.HK  # LX TECHNOLOGY
2438.HK  # MOBVOI
2439.HK  # CH TREASURES NM
2440.HK  # MEMESTRATEGY
2442.HK  # EASY SMART GP
2443.HK  # AUTOSTREETS
2450.HK  # HUAIBEI GD CO
2451.HK  # LUYUAN GP HLDG
2453.HK  # CONCORD HC GP
2455.HK  # RUNHUA SERVICE
2457.HK  # BUYANG INTL
2458.HK  # GALA TECH HOLD
2459.HK  # SANERGY GROUP
2460.HK  # CR BEVERAGE
2465.HK  # LOPAL TECH
2469.HK  # FENBI
2473.HK  # XXF
2475.HK  # LUXSHARE ICT
2476.HK  # VGT
2477.HK  # WELLCELL HOLD
2479.HK  # TIANJUDIHE
2480.HK  # LUZHU BIOTECH-B
2481.HK  # SL GEMINI
2482.HK  # LOGORY
2483.HK  # K CASH
2486.HK  # PLUS GP HOLDING
2487.HK  # CUTIA-B
2488.HK  # LAUNCH TECH
2489.HK  # PERSISTENCEGOLD
2490.HK  # LC HOLDING
2493.HK  # MABWELL-B
2495.HK  # VOICECOMM
2496.HK  # YZYBIO-B
2497.HK  # FUJING HOLDINGS
2498.HK  # ROBOSENSE
2499.HK  # FOLANGSI
2500.HK  # VENUS MEDTECH-B
2501.HK  # MAIYUE TECH
2502.HK  # JINYUAN HCHEM
2503.HK  # ZHONGSHENJIANYE
2505.HK  # EDA GROUP HLDGS
2506.HK  # XUNFEIHEALTH
2507.HK  # CIRRUS
2508.HK  # SAINT BELLA GP
2509.HK  # QYUNS-B
2510.HK  # TS LINES
2511.HK  # HIGHTIDE-B
2512.HK  # CLOUD FACTORY
2513.HK  # Z.AI
2515.HK  # TJCD
2516.HK  # FAR INTL
2517.HK  # GUOQUAN
2518.HK  # AUTOHOME-S
2519.HK  # AUGROUP
2520.HK  # SHANXI INSTALL
2521.HK  # SHENGHUI CLEAN
2522.HK  # RIMAG GROUP
2525.HK  # HESAI-W
2526.HK  # DIAGENS-B
2528.HK  # FW FASHION INT
2529.HK  # HOLLWIN URBAN
2530.HK  # NUMANS
2531.HK  # CARLINK TECH
2533.HK  # BLACK SESAME
2535.HK  # WK GROUP
2536.HK  # PALASINO
2539.HK  # LEMO SERVICES
2540.HK  # LESI GROUP
2543.HK  # DAHON TECH
2545.HK  # ZHONGGAN COMM
2546.HK  # ZHIHUI MINING
2549.HK  # CAROTE LTD
2550.HK  # EASOU TECH
2551.HK  # APT ELECTRONICS
2552.HK  # HUA MEDICINE-B
2553.HK  # SHOUGANG LANZA
2555.HK  # CHABAIDAO
2556.HK  # MARKETINGFORCE
2558.HK  # JINSHANG BANK
2559.HK  # DIDA INC-PF
2560.HK  # CONCH MAT TECH
2561.HK  # VISEN PHARMA-B
2562.HK  # SYNAGISTICS
2563.HK  # BIOSTAR PHARM-B
2565.HK  # PEGBIO CO-B
2566.HK  # JIUYUAN GENE
2567.HK  # QINIU
2569.HK  # SOFT INTL
2570.HK  # REFIRE
2571.HK  # SAIMO
2573.HK  # NEWTREND GROUP
2575.HK  # XUANZHUBIO-B
2576.HK  # TAIMEI TECH
2577.HK  # INNOSCIENCE
2579.HK  # CNGR
2580.HK  # AUX ELECTRIC
2581.HK  # BENQ HOLDING
2582.HK  # GUOFUHEE
2583.HK  # HIPINE
2585.HK  # MOKINGRAN
2586.HK  # DMALL
2587.HK  # HEALTHYWAY INC
2588.HK  # BOC AVIATION
2589.HK  # AUNTEA JENNY
2590.HK  # GEEKPLUS-W
2591.HK  # INNOGEN-B
2592.HK  # CLOUDBREAK-B
2593.HK  # HERBS GROUP
2595.HK  # GENFLEET-B
2596.HK  # YIBIN BANK
2597.HK  # XUNZHONG
2598.HK  # LIANLIAN
2600.HK  # CHALCO
2601.HK  # CPIC
2602.HK  # ONEWO
2603.HK  # JIHONG CO
2605.HK  # METALIGHT
2607.HK  # SH PHARMA
2608.HK  # SUNSHINE 100
2609.HK  # BAYZED HEALTH
2610.HK  # NANSHAN AL INTL
2611.HK  # GTHT
2613.HK  # CONTIOCEAN
2616.HK  # CSTONE PHARMA-B
2617.HK  # TRANSTHERA-B
2618.HK  # JD LOGISTICS
2619.HK  # XJ ELECTRICS
2621.HK  # SHOUHUI GROUP
2623.HK  # HK GOLD IND GP
2625.HK  # JIANGSU HORIZON
2627.HK  # AB&B BIO-TECH-B
2628.HK  # CHINA LIFE
2629.HK  # MIRXES-B
2630.HK  # VIGONVITA-B
2631.HK  # SICC
2632.HK  # NEW VISION CO
2633.HK  # JACOBSON PHARMA
2635.HK  # NUOBIKAN
2637.HK  # HAIXI PHARMA
2638.HK  # HKELECTRIC-SS
2643.HK  # CAOCAO INC
2648.HK  # ANJOY FOOD
2649.HK  # ALSCO POOLING
2650.HK  # ZHIDA TECH
2651.HK  # DAZHONG DENTAL
2652.HK  # CF PHARMTECH
2655.HK  # GUOXIA TECH
2656.HK  # 160 HEALTH
2657.HK  # FOREST CABIN
2658.HK  # TIANYU SEMI
2659.HK  # BAO PHARMA-B
2660.HK  # ZENGAME
2661.HK  # QINGSONG HEALTH
2663.HK  # KPA-BM HLDGS
2665.HK  # SEYOND
2666.HK  # UNI MEDICAL
2667.HK  # TONGRENTANGCARE
2668.HK  # PAK TAK INT'L
2669.HK  # CHINA OVS PPT
2670.HK  # YUNJI
2671.HK  # USAS BUILDING
2672.HK  # BAIGE DIGITAL
2675.HK  # EDGE MEDICAL-B
2676.HK  # NOVOSENSE
2677.HK  # DISTINCT HEALTH
2678.HK  # TEXHONG INTL GP
2680.HK  # AUSTRAX HLDGS
2682.HK  # YUN LEE MARINE
2683.HK  # WAHSUN HANDBAGS
2685.HK  # QUANTGROUP
2687.HK  # ABLE DIGI-50
2688.HK  # ENN ENERGY
2689.HK  # ND PAPER
2691.HK  # NANHUA FUTURES
2692.HK  # ZHAOWEI
2693.HK  # JINYAN KAOLIN
2695.HK  # IMPRESSION DHP
2696.HK  # HENLIUS
2697.HK  # TH MEDICAL-B
2698.HK  # SOFTCARE
2699.HK  # XINMING CHINA
2700.HK  # GREEN INTL HLDG
2701.HK  # NSING TECH
2706.HK  # HAIZHI TECH GP
2714.HK  # MUYUAN
2715.HK  # ESTUN
2718.HK  # MININGLAMP-W
2720.HK  # RIDGE OUTDOOR
2722.HK  # CHONGQING M&E
2723.HK  # DEEPZERO
2726.HK  # EPIWORLD
2727.HK  # SH ELECTRIC
2728.HK  # JINTAI ENERGY H
2729.HK  # GALAXIS TECH
2738.HK  # HUAJIN INTL
2768.HK  # GON TECHNOLOGY
2772.HK  # ZHONGLIANG HLDG
2777.HK  # R&F PROPERTIES
2778.HK  # CHAMPION REIT
2779.HK  # CH XINHUA EDU
2788.HK  # CHUANGXIN IND
2789.HK  # YUANDA CHINA
2797.HK  # QIYUNSHAN FOOD
2798.HK  # PER ENERGY
2799.HK  # CITIC FAMC
2858.HK  # YIXIN
2863.HK  # GOLDEN FAITH GP
2865.HK  # DRINDA
2866.HK  # COSCO SHIP DEV
2869.HK  # GREENTOWN SER
2877.HK  # SHINEWAY PHARM
2878.HK  # SOLOMON SYSTECH
2880.HK  # LIAONING PORT
2881.HK  # WUHAN YOUJI
2882.HK  # 3DG HOLDINGS
2883.HK  # CHINA OILFIELD
2885.HK  # PEIPORT HOLD
2886.HK  # BINHAI INV
2888.HK  # STANCHART
2889.HK  # PATEO
2892.HK  # MILLION CITIES
2898.HK  # SUNHO BIO-B
2899.HK  # ZIJIN MINING
2908.HK  # BJ SPORTS&E-OLD
2912.HK  # EASYKNIT-OLD
2913.HK  # TIAN CHENG-OLD
2914.HK  # ALPHA PRO H-20K
2917.HK  # AI ENERGY E RTS
2918.HK  # AI ENERGY E-10K
2919.HK  # GBA AI COMP-2K
2920.HK  # BONJOUR HOLD
2921.HK  # CAPITAL IND FIN
2922.HK  # REALORD TECH
2923.HK  # CENTURY GP INTL
2925.HK  # JINTAI ENERGY H
2927.HK  # HARBOUR D RTS
2928.HK  # HK ROBOTICS RTS
2929.HK  # TSINGTAO BR-2K
2930.HK  # ABLE DIGI-100
3200.HK  # HANS CNC
3223.HK  # INGENIC
3231.HK  # EXCELLAND ROBOT
3268.HK  # MEIG
3277.HK  # GPIXEL
3288.HK  # HAITIAN FLAV
3296.HK  # HUAQIN
3300.HK  # CHINA GLASS
3301.HK  # RONSHINECHINA
3302.HK  # KINERGY
3303.HK  # JUTAL OIL SER
3306.HK  # JNBY
3308.HK  # ZJ INNOLIGHT
3309.HK  # C-MER MEDICAL
3310.HK  # VIEWTRIX TECH
3311.HK  # CHINA STATE CON
3313.HK  # ARTGO HOLDINGS
3315.HK  # GOLDPAC GROUP
3316.HK  # BINJIANG SER
3317.HK  # XUNCE
3318.HK  # CHINA BOTON
3319.HK  # A-LIVING
3320.HK  # CHINARES PHARMA
3321.HK  # ZHONGKE GROUP
3322.HK  # WIN HANVERKY
3323.HK  # CNBM
3328.HK  # BANKCOMM
3329.HK  # BOCOM INTL
3330.HK  # LINGBAO GOLD
3332.HK  # SINOLIFE UTD
3336.HK  # JU TENG INTL
3337.HK  # ANTON OILFIELD
3339.HK  # LONKING
3347.HK  # TIGERMED
3348.HK  # CHINA PENGFEI
3355.HK  # FS.COM
3360.HK  # FE HORIZON
3363.HK  # ZHENGYE INT'L
3366.HK  # OCT (ASIA)
3368.HK  # PARKSON GROUP
3369.HK  # QHD PORT
3377.HK  # SINO-OCEAN GP
3378.HK  # HANXBIO-B
3380.HK  # LOGAN GROUP
3382.HK  # TIANJINPORT DEV
3383.HK  # AGILE GROUP
3388.HK  # CREALITY
3389.HK  # HENGDELI
3390.HK  # TYCOON GROUP
3393.HK  # WASION HOLDINGS
3395.HK  # JX ENERGY
3396.HK  # LEGENDHOLDING
3398.HK  # CHINA TING
3399.HK  # YUEYUN TRANS
3600.HK  # MODERN DENTAL
3601.HK  # LUDASHI
3603.HK  # XINJI SHAXI
3606.HK  # FUYAO GLASS
3613.HK  # TONGRENTANGCM
3616.HK  # EVER REACH GP
3618.HK  # CQRC BANK
3623.HK  # C SUCCESS FIN
3625.HK  # FOURSEMI
3626.HK  # EAST NOVA HLDGS
3628.HK  # RENHENG ENT
3633.HK  # ZHONGYU ENERGY
3636.HK  # JINXUN RESOURCE
3638.HK  # HUNLICAR GROUP
3639.HK  # YIDA CHINA
3650.HK  # KEEP
3658.HK  # NEW HOPE SERV
3660.HK  # QFIN-S
3661.HK  # SG MICRO
3662.HK  # STARJOY W&T
3666.HK  # SHANGHAI XNG
3668.HK  # YANCOAL AUS
3669.HK  # YONGDA AUTO
3677.HK  # ZENERGY
3678.HK  # HOLLY FUTURES
3680.HK  # RUIHE DATA
3681.HK  # SINOMAB BIO-B
3683.HK  # GREAT HARVEST
3686.HK  # CLIFFORDML
3688.HK  # TOP SPRING
3689.HK  # KANGHUA HEALTH
3690.HK  # MEITUAN-W
3692.HK  # HANSOH PHARMA
3696.HK  # INSILICO
3698.HK  # HUISHANG BANK
3699.HK  # EB GRAND CHINA
3700.HK  # INKEVERSE
3708.HK  # WORLD DIGI ECON
3709.HK  # EEKA FASHION
3718.HK  # BJ ENT URBAN
3728.HK  # CHING LEE
3737.HK  # ZHONGZHIPHARM
3738.HK  # VOBILE GROUP
3750.HK  # CATL
3752.HK  # ROKAE ROBOTICS
3759.HK  # PHARMARON
3768.HK  # DCWT
3773.HK  # YS DIGIFAVOR
3774.HK  # FAMEGLOW
3778.HK  # CHINA WEAVING
3788.HK  # HANKING GOLD
3789.HK  # ROYAL DELUXE
3798.HK  # HOMELAND ITL
3800.HK  # GCL TECH
3808.HK  # SINOTRUK
3813.HK  # POU SHENG INT'L
3816.HK  # KFM KINGDOM
3818.HK  # CHINA DONGXIANG
3822.HK  # SAM WOO CONS
3828.HK  # MING FAI INT'L
3830.HK  # KIDDIELAND
3833.HK  # XINXIN MINING
3836.HK  # HARMONY AUTO
3838.HK  # CHINA STARCH
3839.HK  # CPBIO
3848.HK  # HAOSEN FINTECH
3858.HK  # JIAXIN INTL RES
3860.HK  # EPS HEALTH TECH
3866.HK  # BQD
3868.HK  # XINYI ENERGY
3869.HK  # HOSPITAL CORP
3877.HK  # CSSC SHIPPING
3878.HK  # VICON HOLDINGS
3880.HK  # MEDTIDE
3881.HK  # CIDI
3882.HK  # SKYLIGHT HLDG
3883.HK  # CHINA AOYUAN
3886.HK  # TOWN HEALTH
3887.HK  # HASHKEY HLDGS
3888.HK  # KINGSOFT
3889.HK  # GLOBAL CORN GP
3893.HK  # CROSSTEC
3896.HK  # KINGSOFT CLOUD
3898.HK  # TIMES ELECTRIC
3899.HK  # CIMC ENRIC
3900.HK  # GREENTOWN CHINA
3903.HK  # HANHUA HOLDING
3908.HK  # CICC
3913.HK  # KWG LIVING
3918.HK  # NAGACORP
3919.HK  # GOLDENPOWER
3928.HK  # CHINA NEXT-GEN
3931.HK  # CALB
3933.HK  # UNITED LAB
3938.HK  # LFG INV HLDGS
3939.HK  # WANGUO GOLD GP
3952.HK  # LAIFUAL
3958.HK  # DFZQ
3963.HK  # RONGZHONG FIN
3968.HK  # CM BANK
3969.HK  # CHINA CRSC
3978.HK  # BESTSTUDY EDU
3983.HK  # CHINA BLUECHEM
3986.HK  # GIGADEVICE
3988.HK  # BANK OF CHINA
3989.HK  # CAPITAL ENV
3990.HK  # MIDEA REAL EST
3991.HK  # CHANGHONG JH
3993.HK  # CMOC
3996.HK  # CH ENERGY ENG
3997.HK  # TSO
3998.HK  # BOSIDENG
3999.HK  # DACHAN FOOD
4332.HK  # AMGEN-T
4333.HK  # CISCO-T
4335.HK  # INTEL-T
4336.HK  # APPL MATERIAL-T
4337.HK  # STARBUCKS-T
4338.HK  # MICROSOFT-T
6030.HK  # CITIC SEC
6031.HK  # SANY HEAVY IND
6033.HK  # TELECOM DIGIT
6036.HK  # APEX ACE HLDG
6038.HK  # G & M HLDGS
6049.HK  # POLY PPT SER
6051.HK  # YOUZAN
6055.HK  # CTIHK
6058.HK  # CISI FIN
6060.HK  # ZA ONLINE
6063.HK  # LOTUS HORIZON
6066.HK  # CSC
6067.HK  # SENIOR MATERIAL
6068.HK  # WISDOM EDU INTL
6069.HK  # SY HOLDINGS
6078.HK  # HYGEIA HEALTH
6080.HK  # WING CHI HLDGS
6082.HK  # BIREN TECH
6083.HK  # WORLD-LINK LOG
6086.HK  # FANGZHOU JIANKE
6088.HK  # FIT HON TENG
6090.HK  # BUTONG GROUP
6093.HK  # HEVOL SERVICES
6098.HK  # CG SERVICES
6099.HK  # CMSC
6100.HK  # TONGDAO LIEPIN
6106.HK  # SEER TECH
6108.HK  # NEW RAY MEDIC
6110.HK  # TOPSPORTS
6113.HK  # BITSTRAT HLDGS
6117.HK  # RIZHAO PORT JR
6118.HK  # AUSTAR
6119.HK  # TIAN YUAN GP
6123.HK  # YTO INTL EXP
6127.HK  # JOINN
6128.HK  # GRAPHEX GROUP
6132.HK  # HJ SCIENCE-B
6133.HK  # VITAL INNO
6136.HK  # KANGDA ENV
6138.HK  # HARBIN BANK
6158.HK  # ZHENRO PPT
6160.HK  # BEONE MEDICINES
6162.HK  # TR INTERIORS
6163.HK  # GEMILANG INTL
6166.HK  # CIG
6168.HK  # ZHOU LIU FU
6169.HK  # YUHUA EDU
6178.HK  # EB SECURITIES
6181.HK  # LAOPU GOLD
6182.HK  # TWINTEK
6185.HK  # CANSINOBIO
6186.HK  # CHINA FEIHE
6188.HK  # BJ DIGITAL
6189.HK  # ADWAY
6190.HK  # BANKOFJIUJIANG
6193.HK  # TAILAM TECHCON
6196.HK  # BANKOFZHENGZHOU
6198.HK  # QINGDAO PORT
6199.HK  # BANK OF GUIZHOU
6228.HK  # MERDEKAGOLD-DRS
6288.HK  # FAST RETAIL-DRS
6600.HK  # ONEROBOTICS
6601.HK  # CHEERWIN GP
6603.HK  # IFBH
6608.HK  # BAIRONG AI-W
6609.HK  # HEARTCARE-B
6610.HK  # FLOWING CLOUD
6611.HK  # SANXUN GROUP
6613.HK  # LENS
6616.HK  # GLOBAL NEW MAT
6618.HK  # JD HEALTH
6622.HK  # ZHAOKE OPHTH-B
6623.HK  # LUFAX
6626.HK  # YUEXIU SERVICES
6628.HK  # TRANSCENTA-B
6633.HK  # QINGCI GAMES
6636.HK  # EXTREME VISION
6639.HK  # ARRAIL GROUP
6651.HK  # 51WORLD
6655.HK  # HX BLDG MAT
6656.HK  # SIGENERGY
6657.HK  # BAIWANG CO
6658.HK  # LIULIUMEI
6660.HK  # AIM VACCINE
6661.HK  # HUZHOU GAS
6663.HK  # IWS GROUP
6666.HK  # EVERG SERVICES
6667.HK  # MEGA GENOMICS
6668.HK  # E-STAR CM
6669.HK  # ACOTEC-B
6675.HK  # SENASIC
6676.HK  # ZG GROUP-W
6677.HK  # SINO-OCEAN SERV
6680.HK  # JLMAG
6681.HK  # BRAINAURORA-B
6682.HK  # PHANCY
6683.HK  # STARPLUS LEGEND
6686.HK  # NOAH HOLDINGS
6687.HK  # JST GROUP
6690.HK  # HAIER SMARTHOME
6693.HK  # CHIFENG GOLD
6696.HK  # MANY IDEA CLOUD
6698.HK  # STAR CM
6699.HK  # ANGELALIGN
6715.HK  # XUNLONG SCITECH
6727.HK  # TRANSWARP
6745.HK  # BEFAR GROUP
6805.HK  # KIMOU ENVIRON
6806.HK  # SWHY
6808.HK  # SUNART RETAIL
6809.HK  # MONTAGE TECH
6810.HK  # SUNMI TECH-W
6811.HK  # TAI HING GROUP
6812.HK  # WINSON HLDGS HK
6816.HK  # PROSPER CONS
6818.HK  # CEB BANK
6820.HK  # FRIENDTIMES
6821.HK  # ASYMCHEM
6822.HK  # KING'S FLAIR
6823.HK  # HKT-SS
6826.HK  # HAOHAI BIOTEC
6828.HK  # BG BLUE SKY
6829.HK  # DRAGON RISE GP
6830.HK  # HUAZHONG IN-V
6831.HK  # GREEN TEA GROUP
6833.HK  # SINCO PHARMA
6838.HK  # WINOX
6839.HK  # YUNNAN WATER
6855.HK  # ASCENTAGE
6858.HK  # HONMAGOLF
6860.HK  # FINGERTANGO
6862.HK  # HAIDILAO
6865.HK  # FLAT GLASS
6866.HK  # ZUOLI KECHUANG
6868.HK  # TENFU
6869.HK  # YOFC
6871.HK  # ROBOTPHOENIX
6872.HK  # TENNOR THERAP-B
6877.HK  # TE HEALTHCARE
6878.HK  # DIFFER GP AUTO
6880.HK  # MOMENTA-W
6881.HK  # CGS
6882.HK  # EGL HOLDINGS
6883.HK  # ETERNAL BEAUTY
6885.HK  # JINMA ENERGY
6886.HK  # HTSC
6887.HK  # SUNSHINE PHARMA
6888.HK  # FREETECH
6889.HK  # DYNAM JAPAN
6890.HK  # KANGLI INT HLDG
6893.HK  # HINSANG GROUP
6896.HK  # GOLDEN THROAT
6898.HK  # CHINA ALUMCAN
6899.HK  # OURGAME
6908.HK  # HG SEMI
6909.HK  # BETTERLIFE HLDG
6911.HK  # LANCANG TEA
6913.HK  # SCVE GROUP
6915.HK  # JIANGXI BIO
6918.HK  # JIUTAI DIGITAL
6919.HK  # RENRUI HR
6922.HK  # CRYOFOCUS-B
6928.HK  # TOMO HOLDINGS
6929.HK  # ORBUSNEICH
6933.HK  # SINO-ENTERTAIN
6936.HK  # SF HOLDING
6938.HK  # RIBOLIFE-B
6939.HK  # MEGAIN
6951.HK  # CCTC
6955.HK  # BOAN BIOTECH
6958.HK  # ZHENRO SERVICES
6959.HK  # CHANGJIU HLDGS
6960.HK  # SHUANGDENG
6963.HK  # SUNSHINE INS
6966.HK  # C WAN TONG YUAN
6968.HK  # GANGLONG CHINA
6969.HK  # SMOORE INTL
6978.HK  # IMMUNOTECH-B
6979.HK  # ZJLD
6980.HK  # BAMA TEA
6988.HK  # JOY SPREADER
6989.HK  # EXCELLENCE CM
6990.HK  # SKB BIO
6993.HK  # BLUE MOON GROUP
6996.HK  # ANTENGENE-B
6998.HK  # EDDING GENOR
6999.HK  # LEADING HLDGS
7489.HK  # VOYAH AUTO
7618.HK  # JD INDUSTRIALS
7630.HK  # IMPACT THERAP-B
7656.HK  # RECONOVA
7666.HK  # METIS TECHBIO-P
7687.HK  # EACON
7688.HK  # TOPNC
8003.HK  # GREAT WORLD
8005.HK  # YUXING INFOTECH
8006.HK  # SINO SPLENDID
8007.HK  # GLOBALSTRAT
8013.HK  # ECI TECH
8017.HK  # TRADEGO
8018.HK  # FINSOFT FIN
8019.HK  # HAO WEN HLDGS
8020.HK  # UNITAS HOLD
8021.HK  # WLS HOLDINGS
8023.HK  # KWONG MAN KEE
8026.HK  # CB GLOBAL
8027.HK  # KPM HOLDING
8028.HK  # TIMELESS
8029.HK  # CI FIN TECH GP
8030.HK  # FENGYINHE
8031.HK  # ETS GROUP
8033.HK  # VODATEL NETWORK
8035.HK  # JANCO HOLDINGS
8036.HK  # EBROKER GROUP
8037.HK  # CH BIOTECH SER
8039.HK  # CHINA COME RIDE
8040.HK  # COOLPOINT INNO
8041.HK  # INTELLIMARK AI
8042.HK  # KOS TALENT GP
8043.HK  # ATLINKS
8047.HK  # CHINA OCEAN GP
8049.HK  # JILIN CHANGLONG
8050.HK  # CITY COOLXUAN
8051.HK  # CIRCUTECH
8052.HK  # LUK HING ENT
8056.HK  # LIFE CONCEPTS
8057.HK  # MADISON HLDG
8059.HK  # GLORY FLAME
8060.HK  # GLOBAL LINK
8062.HK  # EFT SOLUTIONS
8065.HK  # KML TECH
8066.HK  # PHOENITRON HOLD
8067.HK  # OUC HOLDINGS
8069.HK  # FLYDOO TECH
8070.HK  # KEEN OCEAN
8071.HK  # CH NETCOMTECH
8072.HK  # LANGU CO
8073.HK  # SFSY NEW MAT
8076.HK  # SING LEE
8079.HK  # LIT LIFE
8080.HK  # NAS HOLDINGS
8081.HK  # BAIJUYI HOLD
8082.HK  # QINGHUA HOLD
8087.HK  # CHINA 33 GROUP
8090.HK  # BAOGAI
8091.HK  # OOH HOLDINGS
8092.HK  # ITE HOLDINGS
8093.HK  # WEB3 META
8095.HK  # BEIDA JADE BIRD
8096.HK  # TASTY CONCEPTS
8098.HK  # CL GROUP
8100.HK  # FAMOUS TECH INT
8103.HK  # HMVOD
8106.HK  # XINHUA LANDE
8107.HK  # FICUS TECH
8111.HK  # CT IND GROUP
8112.HK  # CORNERSTONE FIN
8113.HK  # V&V TECH
8115.HK  # QINGDA ORIENTAL
8117.HK  # CHI P ENERGY
8118.HK  # ZHONGZI INTL H
8120.HK  # CH DEMETER FIN
8121.HK  # GUOEN HOLDINGS
8123.HK  # SINOFORTUNE FIN
8125.HK  # RJVAN
8128.HK  # SINO ENGY CONS
8130.HK  # DADI INTL GROUP
8131.HK  # NOVATECH INTEL
