# Every HKEX-listed equity + REIT (HKD counters), from HKEX's List of Securities.
0336.HK  # HUABAO INTL
0337.HK  # GREENLAND HK
0338.HK  # SHANGHAI PECHEM
0339.HK  # WEBX HOLDING
0340.HK  # TONGGUAN GOLD
0341.HK  # CAFE DE CORAL H
0343.HK  # CULTURECOM HOLD
0345.HK  # VITASOY INT'L
0346.HK  # YANCHANG PETRO
0347.HK  # ANGANG STEEL
0348.HK  # CHINAHEALTHWISE
0351.HK  # ASIA ENERGY LOG
0352.HK  # FORTUNE SUN
0353.HK  # ENERGY INTINV
0354.HK  # CHINASOFT INT'L
0355.HK  # CENTURY C INT'L
0356.HK  # DT CAPITAL
0357.HK  # MEILAN AIRPORT
0358.HK  # JIANGXI COPPER
0360.HK  # NEW FOCUS AUTO
0361.HK  # HANFORT DEV H
0362.HK  # C ZENITH CHEM
0363.HK  # SHANGHAI IND H
0365.HK  # SINO ICT
0366.HK  # LUKS GROUP (VN)
0367.HK  # CHUANG'S INT'L
0368.HK  # SUPERLAND GROUP
0369.HK  # WING TAI PPT
0370.HK  # HK ROBOTICS
0371.HK  # BJ ENT WATER
0372.HK  # PT INTL DEV
0373.HK  # ALLIED GROUP
0374.HK  # FOUR SEAS MER
0375.HK  # YGM TRADING
0376.HK  # YUNFENG FIN
0377.HK  # CHINA HUAJUN GP
0379.HK  # EG LEASING
0380.HK  # CHINA PIPE
0381.HK  # AOM INT'L
0382.HK  # EDVANTAGE GROUP
0383.HK  # TIANAN MEDICARE
0384.HK  # CHINA GAS HOLD
0385.HK  # CHINNEY ALLI
0386.HK  # SINOPEC CORP
0387.HK  # LEEPORT(HOLD)
0388.HK  # HKEX
0389.HK  # TONTINE WINES
0390.HK  # CHINA RAILWAY
0391.HK  # MEI AH ENTER
0392.HK  # BEIJING ENT
0393.HK  # GLORIOUS SUN
0396.HK  # HING LEE (HK)
0397.HK  # MINERVA GROUP
0398.HK  # ORIENTAL WATCH
0399.HK  # STARCOIN GROUP
0400.HK  # INGDAN
0401.HK  # WANJIA GROUP
0403.HK  # STARLITE HOLD
0405.HK  # YUEXIU REIT
0406.HK  # YAU LEE HOLD
0408.HK  # YIP'S CHEMICAL
0410.HK  # SOHO CHINA
0411.HK  # LAM SOON (HK)
0412.HK  # SDHG
0413.HK  # SC HOLDINGS
0417.HK  # TSE SUI LUEN
0418.HK  # FOUNDER HOLD
0419.HK  # HONY MEDIA
0420.HK  # FOUNTAIN SET
0422.HK  # VMEP HOLDINGS
0423.HK  # HKET HOLDINGS
0425.HK  # MINTH GROUP
0426.HK  # ONE MEDIA GROUP
0428.HK  # COCOON HOLDINGS
0430.HK  # ORIENTAL EXPL
0432.HK  # PCPD
0433.HK  # NORTH MINING
0434.HK  # BOYAA
0435.HK  # SUNLIGHT REIT
0436.HK  # NU ENVIRO
0438.HK  # IRICO NEWENERGY
0439.HK  # GENESIS SCALE
0440.HK  # DAH SING
0442.HK  # DOMAINE POWER
